GID_4,NAME_2,NAME_3,NAME_4,pop,builtup,flood,pop_norm,builtup_norm,flood_norm,ASI,stress_tier,hh_total_x,pop_total_x,hh_size_x,elec_coverage_x,hh_size_norm,ASI_updated,city_corp,pop_total_y,hh_total_y,hh_size_y,elec_coverage_y,pop_total,hh_total,hh_size,elec_coverage,pop_share,arrivals_low,arrivals_central,arrivals_high,load_ratio_central,asi_rank,arrival_rank,crisis_index,crisis_tier
BGD.3.1.13.4_1,Dhaka,Gendaria,Ward No-82,390.9526977539062,0.379955930359086,1.0,0.2018815318868365,0.709863076249026,1.0,0.5792046894418936,Moderate stress,,,,,,0.5792046894418936,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.7228260869565217,0.5027173913043478,0.45189905965324706,Moderate concern
BGD.3.1.14.1_1,Dhaka,Gulshan,Ward No-18,237.4296834685175,0.3657435030034776,0.9793103448275864,0.1219935009511486,0.6833103194751463,0.9793103448275864,0.5327835984036573,Moderate stress,11857.0,54210.0,4.01,99.97,0.6581196581196578,0.5410113057911374,DNCC,63095.0,18050.0,3.56,99.41,63095.0,18050.0,3.56,99.41,0.004802226948549536,2044,3680,5112,0.05832474839527697,0.5489130434782609,0.27445652173913043,0.18735307081986483,Low concern
BGD.3.1.14.1_1,Dhaka,Gulshan,Ward No-18,237.4296834685175,0.3657435030034776,0.9793103448275864,0.1219935009511486,0.6833103194751463,0.9793103448275864,0.5327835984036573,Moderate stress,18050.0,63095.0,3.56,99.41,0.2735042735042733,0.4640882288680605,DNCC,63095.0,18050.0,3.56,99.41,63095.0,18050.0,3.56,99.41,0.004802226948549536,2044,3680,5112,0.05832474839527697,0.27717391304347827,0.27445652173913043,0.0946040258595357,Low concern
BGD.3.1.14.2_1,Dhaka,Gulshan,Ward No-19,287.59618480565825,0.3325238873076762,0.9956896551724138,0.1480984014405741,0.6212468623596175,0.9956896551724138,0.5255981761951992,Moderate stress,14930.0,58000.0,3.95,99.96,0.6068376068376068,0.5276516084961095,DNCC,121287.0,37557.0,3.45,99.96,121287.0,37557.0,3.45,99.96,0.009231281399615304,3930,7075,9827,0.05833271496533017,0.4945652173913043,0.9103260869565217,0.5598920070526007,Moderate concern
BGD.3.1.14.2_1,Dhaka,Gulshan,Ward No-19,287.59618480565825,0.3325238873076762,0.9956896551724138,0.1480984014405741,0.6212468623596175,0.9956896551724138,0.5255981761951992,Moderate stress,37557.0,121287.0,3.45,99.96,0.1794871794871794,0.442181523026024,DNCC,121287.0,37557.0,3.45,99.96,121287.0,37557.0,3.45,99.96,0.009231281399615304,3930,7075,9827,0.05833271496533017,0.21195652173913043,0.9103260869565217,0.23995371730825743,Low concern
BGD.3.1.14.3_1,Dhaka,Gulshan,Ward No-20 (Part),408.4976381035981,0.3408911897949451,0.973684210526316,0.2110113079268994,0.6368793044639043,0.973684210526316,0.5507333323647052,Moderate stress,,,,,,0.5507333323647052,DNCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.5978260869565217,0.5027173913043478,0.373751101968851,Moderate concern
BGD.3.1.15.1_1,Dhaka,Hazaribagh,Ward No-46 (Part),263.15639886437583,0.2566673681046145,0.9922752808988764,0.1353807878343867,0.4795258421767276,0.9922752808988764,0.4700551801203285,Moderate stress,,,,,,0.4700551801203285,DNCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.29891304347826086,0.5027173913043478,0.1868755509844255,Low concern
BGD.3.1.15.2_1,Dhaka,Hazaribagh,Ward No-48 (Part),406.05508338818913,0.3060210310828876,0.9511568123393316,0.2097402875031865,0.5717321751396178,0.9511568123393316,0.5217915793849738,Moderate stress,,,,,,0.5217915793849738,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.4673913043478261,0.5027173913043478,0.29220540699382896,Low concern
BGD.3.1.15.3_1,Dhaka,Hazaribagh,Ward No-58,545.7918652895678,0.3814289315726291,0.7903225806451615,0.2824544431452782,0.712615051120891,0.7903225806451615,0.5599776903117135,Moderate stress,19266.0,69593.0,3.67,99.97,0.3675213675213673,0.5085816075143759,DSCC,69593.0,19266.0,3.67,99.97,69593.0,19266.0,3.67,99.97,0.0052967965770727935,2255,4059,5638,0.058324831520411534,0.41304347826086957,0.7554347826086957,0.38803996473699676,Moderate concern
BGD.3.1.16.1_1,Dhaka,Jatrabari,Dhania(part),359.84953649217965,0.413410391742904,0.6670908111974161,0.1856965297837936,0.7723652902550757,0.6670908111974161,0.5113791663021479,Moderate stress,,,,,,0.5113791663021479,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.42391304347826086,0.5027173913043478,0.26502350866882163,Low concern
BGD.3.1.16.2_1,Dhaka,Jatrabari,Matuail (part),640.4534848857219,0.2483847526506369,0.8776190476190476,0.3317130538488306,0.4640516189424918,0.8776190476190476,0.5145080500741663,Moderate stress,,,,,,0.5145080500741663,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.44021739130434784,0.5027173913043478,0.2752167205406994,Low concern
BGD.3.1.16.3_1,Dhaka,Jatrabari,Ward No-76 (Part),636.9471709236266,0.4504119047619048,0.6670908111974161,0.3298884901534267,0.841494380654357,0.6670908111974161,0.5932511320897497,Moderate stress,,,,,,0.5932511320897497,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.7880434782608695,0.5027173913043478,0.49267190714075804,Moderate concern
BGD.3.1.16.4_1,Dhaka,Jatrabari,Ward No-84,429.5150602520012,0.4479118212845174,0.5,0.2219480425825832,0.8368235312048949,0.5,0.5066674529547465,Moderate stress,,,,,,0.5066674529547465,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.40217391304347827,0.5027173913043478,0.25143255950631793,Low concern
BGD.3.1.16.5_1,Dhaka,Jatrabari,Ward No-85,378.8258042689214,0.3216234551367897,0.4335664335664336,0.1955711187778199,0.600881831325738,0.4335664335664336,0.3969286968667446,Moderate stress,,,,,,0.3969286968667446,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.11956521739130435,0.5027173913043478,0.0747502203937702,Low concern
BGD.3.1.16.6_1,Dhaka,Jatrabari,Ward No-86,402.56619393472647,0.3436225824640541,0.9836065573770492,0.2079247909153505,0.6419823036477973,0.9836065573770492,0.5537653619871316,Moderate stress,,,,,,0.5537653619871316,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.6086956521739131,0.5027173913043478,0.3805465765501029,Moderate concern
BGD.3.1.17.1_1,Dhaka,Kadamtali,Dhania(part),436.078312160129,0.4506446811573341,0.0,0.2253633303419841,0.8419292715323108,0.0,0.3848205771731024,Moderate stress,,,,,,0.3848205771731024,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.09239130434782608,0.5027173913043478,0.057761533940640604,Low concern
BGD.3.1.17.2_1,Dhaka,Kadamtali,Matuail (part),504.3391926232708,0.3050977649265395,0.627450980392157,0.2608839156791089,0.5700072578490193,0.627450980392157,0.4607188516168395,Moderate stress,,,,,,0.4607188516168395,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.2554347826086957,0.5027173913043478,0.15969365265941818,Low concern
BGD.3.1.17.3_1,Dhaka,Kadamtali,Shyampur,393.9706030936688,0.2680559845559845,0.9900095147478593,0.2034519447416528,0.5008029368670237,0.9900095147478593,0.5041641844870842,Moderate stress,,,,,,0.5041641844870842,DSCC,,,,,64277.0,,,,0.004892190214310461,2083,3749,5208,0.058325684148295656,0.391304347826087,0.5027173913043478,0.24463708492506614,Low concern
