GID_4,NAME_2,NAME_3,NAME_4,pop,builtup,flood,pop_norm,builtup_norm,flood_norm,ASI,stress_tier,city_corp,hh_total,pop_total,hh_size,elec_coverage,hh_size_norm,ASI_updated,corp_spatial
BGD.3.1.10.9_1,Dhaka,Dhamrai,Jadabpur,9.063574016032714,0.0227349618215902,0.0320512820512821,0.0031597293402747,0.042475215275166,0.0320512820512821,0.0241430375952385,Low stress,,,,,,,0.0241430375952385,
BGD.3.1.10.10_1,Dhaka,Dhamrai,Kulla,16.47383779892088,0.0304342028556537,0.3802698145025302,0.0070157725861981,0.0568595332671443,0.3802698145025302,0.1177745993036123,Low stress,,,,,,,0.1177745993036123,
BGD.3.1.10.11_1,Dhaka,Dhamrai,Kushura,9.78020577002476,0.033649639698657,0.0,0.0035326395518081,0.0628668612398953,0.0,0.0234164572546866,Low stress,,,,,,,0.0234164572546866,
BGD.3.1.10.12_1,Dhaka,Dhamrai,Nannar,12.652308064062645,0.0276680555935542,0.0521739130434784,0.0050271815785171,0.0516916028627523,0.0521739130434784,0.0331464118942397,Low stress,,,,,,,0.0331464118942397,
BGD.3.1.10.13_1,Dhaka,Dhamrai,Rowail,9.010020281854816,0.0320379482515736,0.1615720524017471,0.003131861841759,0.0598557745396308,0.1615720524017471,0.0625952789260111,Low stress,,,,,,,0.0625952789260111,
BGD.3.1.10.14_1,Dhaka,Dhamrai,Sanora,14.35906645658024,0.031168120492258,0.0987306064880114,0.0059153192163551,0.0582306949982982,0.0987306064880114,0.0474295225579492,Low stress,,,,,,,0.0474295225579492,
BGD.3.1.10.15_1,Dhaka,Dhamrai,Sombhag,20.896741080812728,0.0523569711243088,0.1699576868829341,0.0093172974478225,0.0978173456860074,0.1699576868829341,0.0804524116899651,Low stress,,,,,,,0.0804524116899651,
BGD.3.1.10.16_1,Dhaka,Dhamrai,Suapur,10.440488448723343,0.0287054457941783,0.0,0.0038762276666436,0.0536297355256368,0.0,0.0203208985006303,Low stress,,,,,,,0.0203208985006303,
BGD.3.1.10.17_1,Dhaka,Dhamrai,Suti Para,22.99805767039784,0.0515267340598191,0.0828586224754015,0.0104107494328284,0.0962662325449185,0.0828586224754015,0.0585721367827032,Low stress,,,,,,,0.0585721367827032,
BGD.3.1.11.1_1,Dhaka,Dhanmondi,Ward No-47 (Part),615.4775744279224,0.4229566406249998,0.6670908111974161,0.318716459712198,0.7902003312601709,0.6670908111974161,0.5708294026252929,Moderate stress,,,,,,,0.5708294026252929,DNCC
BGD.3.1.11.2_1,Dhaka,Dhanmondi,Ward No-48 (Part),547.3589272692655,0.4484525443110347,0.9411764705882352,0.2832698876341384,0.837833751812952,0.9411764705882352,0.6418438858352473,Moderate stress,,,,,,,0.6418438858352473,DSCC
BGD.3.1.12.1_1,Dhaka,Dohar,Bilaspur,26.156316013458728,0.0499066157479967,0.902025630425796,0.0120541971034449,0.0932394021237412,0.902025630425796,0.2629618771911364,Low stress,,,,,,,0.2629618771911364,
BGD.3.1.12.2_1,Dhaka,Dohar,Dohar Paurashava,43.78504882856187,0.0868424263991112,0.1708542713567842,0.0212275758248394,0.1622457422742225,0.1708542713567842,0.1079906079651097,Low stress,,,,,,,0.1079906079651097,
BGD.3.1.12.3_1,Dhaka,Dohar,Kushumhati,13.375609804337676,0.0450730795444688,0.8352586639879459,0.0054035626186621,0.0842090156908865,0.8352586639879459,0.2404492465362616,Low stress,,,,,,,0.2404492465362616,
BGD.3.1.12.4_1,Dhaka,Dohar,Mahmudpur,15.0221618887624,1.906452664758524e-05,0.9999497062847026,0.0062603709901628,3.561782420528752e-05,0.9999497062847026,0.2525040412057126,Low stress,,,,,,,0.2525040412057126,
BGD.3.1.12.5_1,Dhaka,Dohar,Muksudpur,33.355366576800755,0.0384222404881444,0.9875540416612076,0.015800332344398,0.0717834034160689,0.9875540416612076,0.2783328345486853,Low stress,,,,,,,0.2783328345486853,
BGD.3.1.12.6_1,Dhaka,Dohar,Narisha,30.256314561673086,0.0497841679305951,0.9859629421673216,0.0141876935852632,0.0930106356342735,0.9859629421673216,0.2847195354479314,Low stress,,,,,,,0.2847195354479314,
BGD.3.1.12.7_1,Dhaka,Dohar,Nayabari,9.019315206721473,0.0204275303370407,0.983889085015565,0.0031366985970087,0.0381642931892594,0.983889085015565,0.2605844533089356,Low stress,,,,,,,0.2605844533089356,
BGD.3.1.12.8_1,Dhaka,Dohar,Roypara,20.41449840016616,0.0545725295485371,0.0,0.0090663551485892,0.1019566234099944,0.0,0.0393113602529337,Low stress,,,,,,,0.0393113602529337,
BGD.3.1.12.9_1,Dhaka,Dohar,Sutar Para,27.817540220088667,0.0493309829150867,0.5884900990099016,0.0129186403364553,0.0921639603134942,0.5884900990099016,0.1845473669967805,Low stress,,,,,,,0.1845473669967805,
BGD.3.1.13.1_1,Dhaka,Gendaria,Ward No-76 (Part),732.8796830047482,0.3576103368712505,1.0,0.3798084290534558,0.6681153090306171,1.0,0.6357637297820984,Moderate stress,,,,,,,0.6357637297820984,DSCC
BGD.3.1.13.2_1,Dhaka,Gendaria,Ward No-80 (Part),699.7464627352628,0.2854481060606061,1.0,0.3625670549297878,0.5332962443463928,1.0,0.5816805074931526,Moderate stress,,,,,,,0.5816805074931526,DSCC
BGD.3.1.13.3_1,Dhaka,Gendaria,Ward No-81,524.0318367739758,0.4250124623493976,0.6666666666666666,0.271131281993794,0.794041176518518,0.6666666666666666,0.5530335912456655,Moderate stress,,,,,,,0.5530335912456655,DSCC
BGD.3.1.13.4_1,Dhaka,Gendaria,Ward No-82,390.9526977539062,0.379955930359086,1.0,0.2018815318868365,0.709863076249026,1.0,0.5792046894418936,Moderate stress,,,,,,,0.5792046894418936,DSCC
BGD.3.1.14.3_1,Dhaka,Gulshan,Ward No-20 (Part),408.4976381035981,0.3408911897949451,0.973684210526316,0.2110113079268994,0.6368793044639043,0.973684210526316,0.5507333323647052,Moderate stress,,,,,,,0.5507333323647052,DNCC
