GID_4,NAME_3,NAME_4,pop,builtup,flood,city_corp,corp_spatial,hh_total,pop_total,hh_size,elec_coverage,area_km2,ward_no,n_fragments,pop_norm,builtup_norm,flood_norm,hh_size_norm,ASI,stress_tier
BGD.3.14.3.7_1,Kalukhali,Saorail,6.3010544903850505,0.0213784119148224,0.8359026369168359,,,,,,,,,,0.0017222103705447035,0.03994080374750955,0.8359026369168359,,0.2236438246890552,Low stress
BGD.3.14.4.1_1,Pangsha,Babupara,9.904002337095712,0.0170793497726959,0.3207547169811323,,,,,,,,,,0.0035970589746935964,0.03190896312243621,0.3207547169811323,,0.09279563992801318,Low stress
BGD.3.14.4.2_1,Pangsha,Bahadurpur,8.228653733164263,0.0162210752437555,0.9920116844019196,,,,,,,,,,0.002725265897141476,0.030305468220266835,0.9920116844019196,,0.2596999413364299,Low stress
BGD.3.14.4.3_1,Pangsha,Habaspur,8.310976370140477,0.0160099055442601,0.9831621900363215,,,,,,,,,,0.002768103730935162,0.02991094464393334,0.9831621900363215,,0.2573666196268311,Low stress
BGD.3.14.4.4_1,Pangsha,Jashai,8.014018626833812,0.0174559601721459,0.3093922651933704,,,,,,,,,,0.002613577261439358,0.032612575818909445,0.3093922651933704,,0.08980789873953664,Low stress
BGD.3.14.4.5_1,Pangsha,Kalimahar,8.992304899108712,0.0127992283669067,0.590604026845638,,,,,,,,,,0.0031226433734307135,0.023912509046929577,0.590604026845638,,0.15726944222720712,Low stress
BGD.3.14.4.6_1,Pangsha,Kasba Majhail,7.510879122968783,0.0206034710607435,0.9045692883895136,,,,,,,,,,0.0023517609830342413,0.038492999266427734,0.9045692883895136,,0.2405555762338418,Low stress
BGD.3.14.4.7_1,Pangsha,Machh Para,9.172179962273187,0.0203482311819578,0.6079295154185026,,,,,,,,,,0.0032162440930200895,0.03801614037027888,0.6079295154185026,,0.1665745256214313,Low stress
BGD.3.14.4.8_1,Pangsha,Maurat,8.203344618019889,0.0169770836785418,0.3960396039603965,,,,,,,,,,0.002712095914888196,0.03171790169032856,0.3960396039603965,,0.1111960049476694,Low stress
BGD.3.14.4.9_1,Pangsha,Pangsha Paurashava,19.2703800015626,0.0542348888432861,0.285714285714286,,,,,,,,,,0.008470995772360303,0.1013258169123308,0.285714285714286,,0.11028100565683138,Low stress
BGD.3.14.4.10_1,Pangsha,Patta,8.317689594297333,0.0175760939573949,0.1437740693196407,,,,,,,,,,0.002771597059030741,0.03283701905441231,0.1437740693196407,,0.04854511282256678,Low stress
BGD.3.14.4.11_1,Pangsha,Sarisha,7.746925803301948,0.0166344166100099,0.2500000000000003,,,,,,,,,,0.0024745914562925887,0.031077704551761974,0.2500000000000003,,0.0743670331756338,Low stress
BGD.3.14.5.1_1,Rajbari Sadar,Alipur,9.69719047266795,0.0108255308864032,0.4896810506566609,,,,,,,,,,0.0034894412816709763,0.020225094657131615,0.4896810506566609,,0.1308948223068297,Low stress
BGD.3.14.5.2_1,Rajbari Sadar,Banibaha,9.749525200014984,0.0211966137660132,0.6252699784017284,,,,,,,,,,0.0035166744514779384,0.03960115437541497,0.6252699784017284,,0.1715845684124185,Low stress
BGD.3.14.5.3_1,Rajbari Sadar,Barat,9.010425416177272,0.0122485556189541,0.9541699278198018,,,,,,,,,,0.0031320726595535924,0.022883699599216243,0.9541699278198018,,0.24780460587849756,Low stress
BGD.3.14.5.4_1,Rajbari Sadar,Basantapur,8.422701680170206,0.0150691901039117,0.0721769499417929,,,,,,,,,,0.0028262416919796374,0.028153427250456754,0.0721769499417929,,0.029028433699899943,Low stress
BGD.3.14.5.5_1,Rajbari Sadar,Chandani,7.226321517720507,0.0185891697013838,0.9645232815964524,,,,,,,,,,0.0022036871136090295,0.03472972556756394,0.9645232815964524,,0.2541676991932041,Low stress
BGD.3.14.5.6_1,Rajbari Sadar,Dadshi,12.731671593121876,0.0192534911066659,0.2878103837471788,,,,,,,,,,0.005068479595587511,0.03597086223287656,0.2878103837471788,,0.0865697895565365,Low stress
BGD.3.14.5.7_1,Rajbari Sadar,Khanganj,5.813499272455728,0.0168411056775611,0.9892628297638988,,,,,,,,,,0.0014685036118929438,0.03146385706471335,0.9892628297638988,,0.2589154588583815,Low stress
BGD.3.14.5.8_1,Rajbari Sadar,Khankhanapur,11.754637867507329,0.0231187856468617,0.0656455142231948,,,,,,,,,,0.004560065265264307,0.04319230465205089,0.0656455142231948,,0.03335271129012224,Low stress
BGD.3.14.5.9_1,Rajbari Sadar,Mizanpur,10.83015383279836,0.0113366780112178,0.9964008628395068,,,,,,,,,,0.004078995964298865,0.021180059276564776,0.9964008628395068,,0.2581448348423939,Low stress
BGD.3.14.5.10_1,Rajbari Sadar,Mulghar,8.762834813202826,0.0167785952343165,0.6734355573974311,,,,,,,,,,0.003003235130914144,0.03134707021657187,0.6734355573974311,,0.18053165797752357,Low stress
BGD.3.14.5.11_1,Rajbari Sadar,Panchuria,9.571952137513431,0.0052066459172464,0.2720403022670029,,,,,,,,,,0.0034242716128774784,0.009727458877304447,0.2720403022670029,,0.07278439481895826,Low stress
BGD.3.14.5.12_1,Rajbari Sadar,Rajbari Paurashava,39.74318844610717,0.1037480084685955,0.4717948717948723,,,,,,,,,,0.01912433242010126,0.1938300591245557,0.4717948717948723,,0.19343897161035306,Low stress
BGD.3.14.5.13_1,Rajbari Sadar,Ramkantapur,13.821270873733347,0.0237057915345888,0.5993322203672794,,,,,,,,,,0.00563546912117864,0.044288994483538575,0.5993322203672794,,0.1675883908095298,Low stress
BGD.3.14.5.14_1,Rajbari Sadar,Shahid Wahabpur,10.063571658962308,0.0108533338422197,0.6149732620320859,,,,,,,,,,0.003680093293561049,0.02027703829103164,0.6149732620320859,,0.16231231622730696,Low stress
BGD.3.14.5.15_1,Rajbari Sadar,Sultanpur,7.865184930877326,0.0135091849835661,0.1270270270270273,,,,,,,,,,0.00253612938847914,0.025238904946130052,0.1270270270270273,,0.041604825243294,Low stress
BGD.3.15.1.1_1,Bhedarganj,Arshi Nagar,7.3045202977694546,0.027984462715885,0.5286214953271037,,,,,,,,,,0.0022443790358511917,0.05228273913740549,0.5286214953271037,,0.1513520841442083,Low stress
BGD.3.15.1.2_1,Bhedarganj,Bhedarganj Paurashava,21.07043596110914,0.0522349492521367,0.8794326241134757,,,,,,,,,,0.009407682215442406,0.09758937498038403,0.8794326241134757,,0.2577775101576803,Low stress
BGD.3.15.1.3_1,Bhedarganj,Char Bhaga,8.187165847905916,0.0393572637583579,0.685314685314686,,,,,,,,,,0.0027036770462685127,0.07353028625674707,0.685314685314686,,0.19814574233704038,Low stress
BGD.3.15.1.4_1,Bhedarganj,Char Census,8.102727763196079,0.0208869056000715,0.8660229330114649,,,,,,,,,,0.002659738407134512,0.03902253360956182,0.8660229330114649,,0.23122751537906666,Low stress
BGD.3.15.1.5_1,Bhedarganj,Char Kumaria,9.07284050925543,0.0170823184996901,0.6434659090909096,,,,,,,,,,0.003164551300686919,0.03191450952797502,0.6434659090909096,,0.17330237612779342,Low stress
