GID_4,NAME_3,NAME_4,city_corp,ward_no,n_fragments,observed,pop_total,ASI,arrivals_low,arrivals_central,arrivals_high,load_ratio_central,asi_rank,arrival_rank,crisis_index,crisis_tier
BGD.3.1.33.2_1,Ramna,Ward No-54,DNCC,54.0,1.0,True,70120.0,0.4751508630459885,3175,5715,7938,0.0815031374786081,0.3277310924369748,0.6974789915966386,0.27155792502327153,Moderate concern
BGD.3.1.16.4_1,Jatrabari,Ward No-84,,,1.0,False,,0.5066674529547466,3151,5672,7878,0.08150244995904761,0.44537815126050423,0.5042016806722689,0.26673436574426673,Moderate concern
BGD.3.1.3.3_1+BGD.3.1.6.5_1,Bangshal,Ward No-67,DSCC,67.0,2.0,True,55331.0,0.702858155597931,2505,4510,6264,0.08150946124234154,0.957983193277311,0.226890756302521,0.2581027333502581,Moderate concern
BGD.3.1.17.3_1,Kadamtali,Shyampur,,,1.0,False,,0.5041641844870842,3151,5672,7878,0.08150244995904761,0.42016806722689076,0.5042016806722689,0.2515020732842515,Moderate concern
BGD.3.1.34.2_1,Rampura,Ward No-23,DNCC,23.0,1.0,True,69353.0,0.5614285744875551,3140,5653,7851,0.0815105330699465,0.6470588235294118,0.31092436974789917,0.23872387238723872,Moderate concern
BGD.3.1.14.2_1,Gulshan,Ward No-19,DNCC,19.0,1.0,True,121287.0,0.4482840871285881,5492,9886,13731,0.08150914772399351,0.226890756302521,0.8823529411764706,0.23753913852923753,Moderate concern
BGD.3.1.19.1_1,Kalabagan,Ward No-50,DSCC,50.0,1.0,True,52971.0,0.6733517694394856,2398,4317,5996,0.08149742311831001,0.9327731092436975,0.21008403361344538,0.23246170770923244,Moderate concern
BGD.3.1.8.1_1,Darus Salam,Ward No-09,DNCC,9.0,1.0,True,76440.0,0.46113038640403115,3461,6230,8653,0.0815018315018315,0.2605042016806723,0.7310924369747899,0.22586104764322584,Low concern
BGD.3.1.25.1_1+BGD.3.1.38.1_1,Lalbagh,Ward No-56,DSCC,56.0,2.0,True,138844.0,0.436763861795232,6287,11317,15718,0.0815087436259399,0.20168067226890757,0.9159663865546218,0.21900651603621898,Low concern
BGD.3.1.24.1_1+BGD.3.1.3.4_1,Bangshal,Ward No-68,DSCC,68.0,2.0,True,48338.0,0.6333708264807429,2188,3940,5472,0.08150937150895776,0.8739495798319328,0.18487394957983194,0.19124989422019123,Low concern
BGD.3.1.41.1_1,Sutrapur,Ward No-74,DSCC,74.0,1.0,True,64090.0,0.5400168094183295,2902,5224,7255,0.0815103760337026,0.5714285714285714,0.2773109243697479,0.18752644495218748,Low concern
BGD.3.1.9.2_1,Demra,Matuail (part),,,1.0,False,,0.4731739224259849,3151,5672,7878,0.08150244995904761,0.3025210084033613,0.5042016806722689,0.18041804180418036,Low concern
BGD.3.1.18.1_1,Kafrul,Ward No-04,DNCC,4.0,1.0,True,95090.0,0.4154348206974306,4306,7750,10765,0.08150173519823325,0.18487394957983194,0.7899159663865546,0.17263264788017263,Low concern
BGD.3.1.33.1_1,Ramna,Ward No-53,DSCC,53.0,1.0,True,65763.0,0.5076058879221517,2978,5360,7445,0.08150479753052628,0.453781512605042,0.3025210084033613,0.1621392908521621,Low concern
BGD.3.1.11.2_1+BGD.3.1.15.2_1,Dhanmondi,Ward No-48,DSCC,48.0,2.0,True,63031.0,0.5221417611103931,2854,5137,7135,0.08149957957195665,0.5210084033613446,0.2605042016806723,0.16027756621816028,Low concern
BGD.3.1.7.1_1,Dakshinkhan,Dakshinkhan (Part),,,1.0,False,,0.46151907428569916,3151,5672,7878,0.08150244995904761,0.2689075630252101,0.5042016806722689,0.16010831852416008,Low concern
BGD.3.1.28.4_1,Motijheel,Ward No-34,DSCC,34.0,1.0,True,44877.0,0.6043272045385819,2032,3658,5080,0.08151168750139269,0.7815126050420168,0.16806722689075632,0.15503088770415502,Low concern
BGD.3.1.17.2_1,Kadamtali,Matuail (part),,,1.0,False,,0.46071885161683956,3151,5672,7878,0.08150244995904761,0.25210084033613445,0.5042016806722689,0.14995345688414993,Low concern
BGD.3.1.8.2_1,Darus Salam,Ward No-10,DNCC,10.0,1.0,True,92956.0,0.40468450661112865,4209,7577,10523,0.08151168294677051,0.15966386554621848,0.773109243697479,0.14555301684014554,Low concern
BGD.3.1.27.3_1,Mohammadpur,Ward No-45,DNCC,45.0,1.0,True,50260.0,0.5611903920069886,2275,4096,5689,0.08149621965777955,0.6386554621848739,0.19327731092436976,0.14555301684014554,Low concern
BGD.3.1.39.1_1+BGD.3.1.43.3_1,Sher-e-bangla Nagar,Ward No-40,DNCC,40.0,2.0,True,110045.0,0.3954056968913886,4983,8969,12458,0.08150302149120814,0.14285714285714285,0.8319327731092437,0.14005246678514002,Low concern
BGD.3.1.24.4_1,Kotwali,Ward No-73,DSCC,73.0,1.0,True,46137.0,0.5565129616907981,2089,3760,5223,0.0814964128573596,0.6218487394957983,0.17647058823529413,0.12913599052212912,Low concern
BGD.3.1.2.5_1+BGD.3.1.23.3_1,Badda,Ward No-17,DNCC,17.0,2.0,True,282695.0,0.3723335377469258,12801,23043,32004,0.08151187675763633,0.1092436974789916,1.0,0.12854362359312854,Low concern
BGD.3.1.11.3_1,Dhanmondi,Ward No-49,DSCC,49.0,1.0,True,61292.0,0.5053638674657468,2775,4996,6938,0.08151145337074986,0.42857142857142855,0.25210084033613445,0.1271050181941271,Low concern
BGD.3.1.31.2_1,Pallabi,Ward No-03,DNCC,3.0,1.0,True,104226.0,0.3857070885286083,4719,8495,11799,0.08150557442480763,0.12605042016806722,0.8067226890756303,0.11948887196411948,Low concern
BGD.3.1.39.2_1,Sher-e-bangla Nagar,Ward No-41,DNCC,41.0,1.0,True,38608.0,0.5924295545607835,1748,3147,4370,0.08151160381268131,0.7394957983193278,0.13445378151260504,0.11678090886011677,Low concern
BGD.3.1.22.1_1,Khilgaon,Dakshingaon (Part),,,1.0,False,,0.4216132724388497,3151,5672,7878,0.08150244995904761,0.19327731092436976,0.5042016806722689,0.1144114411441144,Low concern
BGD.3.1.28.2_1,Motijheel,Ward No-32,DSCC,32.0,1.0,True,32307.0,0.6169500800887215,1463,2633,3657,0.08149936546259325,0.8235294117647058,0.11764705882352941,0.11373445036811372,Low concern
BGD.3.1.27.2_1,Mohammadpur,Ward No-44,DNCC,44.0,1.0,True,31861.0,0.6302331385737522,1442,2597,3607,0.08151031041084712,0.8571428571428571,0.1092436974789916,0.10984175340610983,Low concern
BGD.3.1.22.4_1,Khilgaon,Ward No-25,DSCC,25.0,1.0,True,31420.0,0.6731967564146315,1422,2561,3557,0.08150859325270528,0.9243697478991597,0.10084033613445378,0.10933401032410935,Low concern
BGD.3.1.4.1_1,Biman Bandar,Dakshinkhan (part),,,1.0,False,,0.4100489416133243,3151,5672,7878,0.08150244995904761,0.17647058823529413,0.5042016806722689,0.10425657950410426,Low concern
BGD.3.1.35.5_1,Sabujbagh,Ward No-29,DSCC,29.0,1.0,True,55010.0,0.4979100631703839,2491,4483,6227,0.08149427376840575,0.3949579831932773,0.2184873949579832,0.10104087331810102,Low concern
BGD.3.1.14.1_1,Gulshan,Ward No-18,DNCC,18.0,1.0,True,63095.0,0.4733873741672058,2857,5142,7143,0.08149615658927015,0.31932773109243695,0.2689075630252101,0.10053313023610051,Low concern
BGD.3.1.35.2_1,Sabujbagh,Manda,,,1.0,False,,0.40988921609142104,3151,5672,7878,0.08150244995904761,0.16806722689075632,0.5042016806722689,0.09917914868409917,Low concern
BGD.3.1.30.1_1,New Market,Ward No-52,DSCC,52.0,1.0,True,41955.0,0.5402890356796525,1899,3419,4749,0.08149207484209271,0.5798319327731093,0.14285714285714285,0.0968943048150969,Low concern
BGD.3.1.31.1_1,Pallabi,Ward No-02,DNCC,2.0,1.0,True,208062.0,0.35391865766443353,9421,16959,23554,0.08150935778758255,0.08403361344537816,0.9747899159663865,0.0957941948040958,Low concern
BGD.3.1.16.5_1,Jatrabari,Ward No-85,,,1.0,False,,0.39692869686674465,3151,5672,7878,0.08150244995904761,0.15126050420168066,0.5042016806722689,0.089024287044089,Low concern
BGD.3.1.25.2_1,Lalbagh,Ward No-59,DSCC,59.0,1.0,True,57413.0,0.4731959698611926,2599,4679,6499,0.08149722188354554,0.31092436974789917,0.24369747899159663,0.08843192011508842,Low concern
BGD.3.1.22.5_1,Khilgaon,Ward No-26,DSCC,26.0,1.0,True,43318.0,0.5159901354605423,1961,3530,4904,0.08149037351678286,0.4957983193277311,0.15126050420168066,0.08750105779808749,Low concern
BGD.3.1.24.2_1+BGD.3.1.3.7_1,Bangshal,Ward No-71,DSCC,71.0,2.0,True,52773.0,0.48470230853062224,2389,4301,5974,0.0815000094745419,0.35294117647058826,0.20168067226890757,0.08293137006008293,Low concern
BGD.3.1.5.2_1,Cantonment,Ward No-98 (Rest. Area),,,1.0,False,,0.38892052283120204,3151,5672,7878,0.08150244995904761,0.13445378151260504,0.5042016806722689,0.07886942540407885,Low concern
BGD.3.1.28.3_1,Motijheel,Ward No-33,DSCC,33.0,1.0,True,64566.0,0.44672207832930616,2923,5262,7309,0.08149800204441966,0.21008403361344538,0.29411764705882354,0.07167639840907167,Low concern
BGD.3.1.32.1_1,Paltan,Ward No-36,DSCC,36.0,1.0,True,25734.0,0.6166203801924324,1165,2097,2913,0.08148752622989042,0.8151260504201681,0.07563025210084033,0.0715071507150715,Low concern
BGD.3.1.28.5_1,Motijheel,Ward No-35,DSCC,35.0,1.0,True,25440.0,0.6647978203388647,1152,2073,2880,0.08148584905660378,0.9159663865546218,0.06722689075630252,0.0714225268680714,Low concern
