GID_4,pop_2000,pop_2005,pop_2010,pop_2015,pop_2020,built_2000,built_2010,built_2020
BGD.3.1.2.5_1+BGD.3.1.23.3_1,73862.3365971668,89716.3136838048,109692.50912844433,132279.5127523684,162311.05880153982,1993734.9803921573,2251830.564705882,2395963.4235294117
BGD.3.1.14.1_1,19508.713713724475,22877.761617776458,25513.2051058844,30985.60106794134,36958.85288377649,541222.1686274507,544656.3137254901,546284.2470588234
BGD.3.1.14.2_1,79573.63175054434,93860.87142320523,115268.39892986517,133844.1652174913,160717.87674973437,1733356.5019607842,1745163.172549019,1755088.3294117646
BGD.3.1.14.3_1+BGD.3.1.42.1_1,37937.050822688085,48570.588669361765,61745.17226640291,72522.76235040402,88285.4462800867,655311.2666666667,673240.1764705884,683759.4470588235
BGD.3.1.2.6_1,32361.675649515793,40415.85666569728,47349.11355171952,57731.258780924494,66701.68427584777,576747.5215686273,586212.8039215684,597049.7647058822
BGD.3.1.34.1_1,97078.27274624696,114896.22490312165,136191.02695869,168043.5321933522,200712.60644920194,814176.4509803922,840860.5411764709,857764.5764705882
BGD.3.1.34.2_1,35942.98246292413,40608.40341808843,49776.152839451206,59510.8632198558,71234.11243788779,277020.4784313726,292978.70196078444,300801.05098039226
BGD.3.1.42.2_1,89099.59557387409,106505.22122066718,126874.77094535076,153357.02438336535,183429.00013924396,867908.1882352941,874009.5176470588,884419.9686274508
BGD.3.1.42.3_1+BGD.3.1.43.1_1,46257.8651366589,54142.58607195686,65821.30897755343,80354.92824707033,97384.40567375635,441001.93333333335,441373.2470588235,441672.56078431365
BGD.3.1.43.2_1,45051.82246147603,57229.6441905302,69243.99194443648,89827.86198706536,109591.79536898744,427700.11372549017,427872.8156862745,429055.6549019608
BGD.3.1.39.1_1+BGD.3.1.43.3_1,92260.98714907772,104737.35172217873,118838.32456659051,126795.70058390296,148086.765147699,688983.1764705878,691852.870588235,740695.1843137251
BGD.3.1.39.2_1,53566.521388573754,60500.52544914695,74782.83839117312,84116.65325311394,104741.21349876252,494229.03921568627,502397.67843137257,566981.0784313729
BGD.3.1.27.1_1,30960.403314089308,36304.15504569258,43723.85528349035,52591.429712751815,62934.53290596758,254128.8862745099,254529.49411764712,254690.19607843144
BGD.3.1.1.1_1,68684.64378392838,88759.60299658684,104932.38944073844,129742.83952026369,154767.02214684588,708108.6980392158,762961.8784313727,785230.8666666661
BGD.3.1.27.2_1,27376.39992675781,31997.733701698453,40502.46856665517,50214.46908102597,60358.85114183613,211983.2588235294,212000.82745098043,212283.93333333335
BGD.3.1.27.3_1,61100.50624760646,69113.13001242247,86658.8306219961,100332.73462955253,117803.8528489057,455367.76078431366,456002.14901960775,459183.0666666666
BGD.3.1.1.2_1+BGD.3.1.15.1_1+BGD.3.1.27.4_1,74985.38806584678,91136.26352075313,106876.28892884351,138711.36742627015,165348.67854567885,589219.984313726,1174130.6666666663,1504381.4392156866
BGD.3.1.11.1_1+BGD.3.1.27.5_1,31058.312256816786,35063.24979367723,42319.90094454894,50837.96818590351,61275.38563890644,354468.12941176456,392096.37647058815,414073.99607843114
BGD.3.1.33.2_1,27616.909670661484,34097.445187736965,40836.45061005237,48115.92622429343,57465.47719050388,322480.16470588226,325465.72941176465,327425.75294117635
BGD.3.1.22.3_1,43710.007419122456,48772.13599243162,63046.824897197635,77371.01244423064,91710.72724489696,336179.53725490195,350778.2274509804,358085.5490196078
BGD.3.1.22.4_1,51731.30047631359,62771.307903693705,76484.17424340342,92680.08826018688,112195.97168016624,416603.4392156862,440938.1607843137,450673.0274509804
BGD.3.1.22.5_1,90635.54956904393,113968.29678207097,134353.7130062926,160246.0854670207,189748.01377581424,632929.580392157,734506.0862745098,783846.4666666669
BGD.3.1.35.3_1,37755.68333249561,48473.41262135226,60734.60189520141,72883.12251634784,89483.83274883198,415118.168627451,424658.0823529411,428608.1803921568
BGD.3.1.35.4_1,37613.645008161955,48408.46171545888,61810.000364296095,71465.4217133167,88117.75012470325,422820.356862745,440355.70196078427,447653.0862745098
BGD.3.1.35.5_1,21124.92005734911,26131.562874528474,31681.24255897671,37199.63165187461,46497.764717012295,265240.443137255,273577.5254901961,277561.0039215686
BGD.3.1.35.6_1,11750.202478745405,14731.314795221067,17260.736820744532,19089.496044323485,23518.23500850902,148850.43137254906,166086.1098039216,173532.23529411768
BGD.3.1.28.1_1,29795.378348436538,37223.75589084999,41423.60746262495,49952.46557126512,59213.56231085087,348307.494117647,350523.262745098,351618.9450980391
BGD.3.1.28.2_1,24772.818618415382,30052.91409983916,35294.950308107866,41005.3615932689,48062.186953496,315648.5019607844,317572.3137254902,318370.8352941176
BGD.3.1.28.3_1,13772.993662456434,16918.91464825799,19020.179040886374,20078.00402401195,26395.502605243764,126531.85882352942,126531.85882352942,126801.83921568628
BGD.3.1.28.4_1,26939.103564931833,31869.543335080612,40417.5415696088,48437.849415618286,56697.35835008809,260027.72156862752,260328.30980392164,261008.74901960796
BGD.3.1.28.5_1,19790.693362845628,22412.435062782435,26318.28035362094,32594.678141515396,38362.84706121705,212859.9137254902,213284.32549019606,213453.75686274507
BGD.3.1.32.1_1,29288.13553604425,34318.564798990876,41514.836326270015,49783.50881281834,60508.389271635184,453460.72941176477,453999.72941176477,455289.3019607845
BGD.3.1.11.2_1+BGD.3.1.15.2_1,52395.22889670577,63010.39078647391,73179.57178645411,90319.28572767675,106378.58331717698,729617.3999999998,927711.1058823527,1049404.4352941173
BGD.3.1.11.3_1,65178.98529100605,78122.43696947284,93233.27359762754,108188.892717728,127428.80657803407,741472.0352941173,742389.5568627449,745623.9647058821
BGD.3.1.19.1_1,34842.95855258118,41288.81277597466,50095.23030706668,59099.798758712466,70194.4847567689,310120.51372549025,310120.51372549025,310349.04313725495
BGD.3.1.19.2_1+BGD.3.1.27.6_1,33224.39678787532,39126.50378035004,48136.01744336895,56507.67261382459,68809.959280216,404441.44313725503,404664.13725490205,405558.14509803936
BGD.3.1.30.1_1,45300.09226193895,54795.84830555635,61154.670937093135,68460.2991104425,79520.84409703274,447334.32156862743,452143.98039215675,455508.2313725489
BGD.3.1.33.1_1,47953.885941329674,56200.25894039379,66595.52624387552,77617.7661148071,91347.7507369546,544469.317647059,544923.674509804,547759.1960784316
BGD.3.1.25.1_1+BGD.3.1.38.1_1,58063.56562413236,64432.086422430315,79078.83617094452,92219.16894794539,109500.02565692076,587054.3921568629,590700.5294117648,597210.4666666668
BGD.3.1.38.2_1,37023.82090186324,42422.38877548518,50814.18697207583,58775.62246345072,68250.96159282012,341488.8941176471,342559.8196078432,345064.2156862746
BGD.3.1.15.3_1,40947.86992573458,50934.69512547512,58509.422202345915,70763.38446101767,83511.19862778607,428537.9333333332,509746.8588235295,549438.8823529413
BGD.3.1.25.2_1,25298.95012613933,30456.768756223195,32834.9056400673,34723.67065220252,39071.582247924795,185964.21568627443,186591.07058823516,186840.2705882352
BGD.3.1.25.3_1,13592.220552272423,16704.813386804915,20716.009945738548,27198.476052557246,34585.9809369854,194926.98039215684,195915.6392156863,196311.5921568627
BGD.3.1.25.4_1,24782.46432339537,29374.678296796013,37343.234541949096,45787.50984700522,57237.38359841738,164366.78431372548,164367.3019607843,164367.50980392157
BGD.3.1.25.5_1,55743.77056154739,64530.57175795611,75227.56238834157,82745.84574447332,95725.80995273961,284907.90588235296,285106.90588235296,285299.90588235296
BGD.3.1.3.1_1+BGD.3.1.6.1_1,28147.414820054,32343.78551121132,39502.02111888213,49959.841048895156,60442.280935968134,158713.23529411762,158713.23529411762,158713.23529411762
BGD.3.1.6.2_1,15626.158636235255,18486.76608096852,24013.71808483647,32678.995351035923,40667.02252628103,106161.1725490196,106161.1725490196,106161.1725490196
BGD.3.1.6.3_1,20728.360603033325,25880.109115869862,30130.693149641447,37367.87814743939,45329.54552001954,237356.6431372549,239739.7568627451,240691.3254901961
BGD.3.1.3.2_1+BGD.3.1.6.4_1,11060.722563620175,13704.653237735522,16163.092694690184,19988.460837390376,24758.11476625928,143586.89019607846,143974.68627450982,144129.84705882357
BGD.3.1.3.3_1+BGD.3.1.6.5_1,25871.155997122965,31828.68990167356,38658.20503911036,47172.79753346164,56467.24101035922,187836.70196078427,187836.70196078427,187953.97254901956
BGD.3.1.24.1_1+BGD.3.1.3.4_1,15657.99096901089,19489.446653119256,23174.113184072456,28147.76018054439,33806.89777915804,156853.40784313725,157204.01176470585,157732.52156862745
BGD.3.1.3.5_1,31012.509309656478,35279.619146848185,40877.59395033892,49790.92608666513,59251.112532073385,186531.81176470587,186531.81176470587,186531.81176470587
BGD.3.1.3.6_1,35090.96902453853,41075.45380979051,49811.88782121246,60049.47760081573,71080.54380696615,153398.67450980394,153398.67450980394,153398.67450980394
BGD.3.1.24.2_1+BGD.3.1.3.7_1,20001.98668344535,25339.39618865369,28591.15379662607,34580.75073457605,40354.443918026205,117073.72156862744,117073.72156862744,117529.72156862744
BGD.3.1.24.3_1,7534.734392592486,9001.591106100645,10797.457651056027,12899.738362390854,15420.871539426316,89071.13725490196,89071.13725490196,89071.13725490196
BGD.3.1.24.4_1,9973.332728307387,11601.496662932748,13763.119937672336,16508.34032975739,20413.79874901865,131655.0941176471,132760.86274509807,133301.21568627452
BGD.3.1.41.1_1,28850.408216648477,35751.76796210793,43920.4872443704,51027.783243695434,61308.2169315712,199551.3529411764,199551.3529411764,199560.47058823518
BGD.3.1.41.2_1,13673.185808488435,16742.092224659642,20841.794413368374,25694.241164622596,31443.17618892893,201844.70588235292,201844.70588235292,202236.76470588232
BGD.3.1.33.3_1,21972.83327864105,26596.980660412355,31839.876022338864,37443.20661154356,45327.576246134435,274233.09411764704,275152.46274509805,276472.69019607845
