GID_4,NAME_2,NAME_3,NAME_4,pop,builtup,flood
BGD.3.6.2.6_1,Kishoreganj,Bajitpur,Halimpur,10.009737408796942,0.018104768499116262,0.7482269503546105
BGD.3.6.2.7_1,Kishoreganj,Bajitpur,Hilachia,12.734867811188144,0.01765637926738101,0.9165965207631823
BGD.3.6.2.8_1,Kishoreganj,Bajitpur,Humaipur,8.42273024894857,0.004345721667109913,1.0
BGD.3.6.2.9_1,Kishoreganj,Bajitpur,Kailag,12.883487059836096,0.01781485761077245,0.987519838407156
BGD.3.6.2.10_1,Kishoreganj,Bajitpur,Maij Char,9.715895037934743,0.003236414143627043,1.0
BGD.3.6.2.11_1,Kishoreganj,Bajitpur,Pirijpur,13.02374815968079,0.016032899101869082,0.5219885277246659
BGD.3.6.2.12_1,Kishoreganj,Bajitpur,Sarar Char,20.68946378703953,0.029424977415670982,0.46153846153846195
BGD.3.6.3.1_1,Kishoreganj,Bhairab,Aganagar,20.25355221542071,0.009550281591983574,0.9910888167601057
BGD.3.6.3.2_1,Kishoreganj,Bhairab,Bhairab Paurashava,75.86950717667351,0.09631587463199213,0.9619037839502999
BGD.3.6.3.3_1,Kishoreganj,Bhairab,Gazaria,17.875225821819186,0.015459841524642226,0.9383357186669377
BGD.3.6.3.4_1,Kishoreganj,Bhairab,Kalika Prasad,20.480958045848126,0.015866970363071317,0.7252315464496215
BGD.3.6.3.5_1,Kishoreganj,Bhairab,Sadakpur,14.506968819907849,0.005855339106494007,0.9943591672079585
BGD.3.6.3.6_1,Kishoreganj,Bhairab,Shibpur,28.658643017782435,0.03764464557309199,0.6387035271687325
BGD.3.6.3.7_1,Kishoreganj,Bhairab,Shimulkandi,23.006892982241066,0.030268621474666513,0.8244957709824342
BGD.3.6.3.8_1,Kishoreganj,Bhairab,Sreenagar,17.57438172903063,0.01897540505643717,0.8623569794050326
BGD.3.6.4.1_1,Kishoreganj,Hossainpur,Araibaria,22.481731619242353,0.06257217139251489,0.5877192982456143
BGD.3.6.4.2_1,Kishoreganj,Hossainpur,Gobindapur,11.765731308562804,0.02793788942900674,0.8432494279176205
BGD.3.6.4.3_1,Kishoreganj,Hossainpur,Hossainpur Paurashava,26.44217756554266,0.11897033532195019,0.6056338028169014
BGD.3.6.4.4_1,Kishoreganj,Hossainpur,Jinari,11.812510336956342,0.020520604351969493,0.47538200339558645
BGD.3.6.4.5_1,Kishoreganj,Hossainpur,Pumdi,12.652949460091172,0.034870094484454356,0.04761904761904767
BGD.3.6.4.6_1,Kishoreganj,Hossainpur,Sahedal,12.087339788433026,0.03321767630427825,0.4941176470588236
BGD.3.6.4.7_1,Kishoreganj,Hossainpur,Sidhla,13.972240199883085,0.03167413591930927,0.7501422879908938
BGD.3.6.5.1_1,Kishoreganj,Itna,Badla,3.3008754445205812,0.0024819924596568258,0.9994390657895694
BGD.3.6.5.2_1,Kishoreganj,Itna,Baribari,4.462813478467041,0.0023257383427136773,1.0
BGD.3.6.5.3_1,Kishoreganj,Itna,Chauganga,5.794320859705018,0.01659531210635452,0.9955861667555896
BGD.3.6.5.4_1,Kishoreganj,Itna,Dhanpur,2.9914357124178297,0.0006781039560924341,1.0
BGD.3.6.5.5_1,Kishoreganj,Itna,Elongjuri,4.404049520328955,0.002622583485913038,0.9998933244832163
BGD.3.6.5.6_1,Kishoreganj,Itna,Itna,4.912907280648515,0.005314342608629449,0.9999023758176027
BGD.3.6.5.7_1,Kishoreganj,Itna,Joy Siddhi,4.325592113328851,0.0037825525315794413,1.0
BGD.3.6.5.8_1,Kishoreganj,Itna,Mriga,3.70318567441627,0.0031555991108021073,1.0
BGD.3.6.5.9_1,Kishoreganj,Itna,Raituti,4.295755925165219,0.007135184602900906,0.9940933041407019
BGD.3.6.6.1_1,Kishoreganj,Karimganj,Baragharia,14.522059649014942,0.024558394256610747,0.9283519327187452
BGD.3.6.6.2_1,Kishoreganj,Karimganj,Dehunda,12.508996585232753,0.014604256535135666,0.5735129068462401
BGD.3.6.6.3_1,Kishoreganj,Karimganj,Gujadia,11.163156208777897,0.012953555488439216,0.5461970393057688
BGD.3.6.6.4_1,Kishoreganj,Karimganj,Gundhar,11.306675957376507,0.014962261413646937,0.9901627706505753
BGD.3.6.6.5_1,Kishoreganj,Karimganj,Jafarabad,19.10025505843022,0.02142644868488912,0.4734299516908216
BGD.3.6.6.6_1,Kishoreganj,Karimganj,Joyka,9.723352060217785,0.015660720291147935,0.9643498976052157
BGD.3.6.6.7_1,Kishoreganj,Karimganj,Kadir Jangal,13.766672464302859,0.013878036343965373,0.6241098677517805
BGD.3.6.6.8_1,Kishoreganj,Karimganj,Karimganj Paurashava,18.710105475163793,0.048981578856808566,0.6014109347442682
BGD.3.6.6.9_1,Kishoreganj,Karimganj,Kiratan,15.030115449479206,0.013124889499206113,0.5380622837370244
BGD.3.6.6.10_1,Kishoreganj,Karimganj,Niamatpur,14.428557457147093,0.029336478582321496,0.9126996678791716
BGD.3.6.6.11_1,Kishoreganj,Karimganj,Noabad,14.354640993637231,0.02276182152191206,0.7896341463414638
BGD.3.6.6.12_1,Kishoreganj,Karimganj,Sutar Para,11.070346276092792,0.006245760268370785,0.998182758572487
BGD.3.6.7.1_1,Kishoreganj,Katiadi,Achmita,13.869673167365363,0.02998917717220598,0.4482758620689658
BGD.3.6.7.2_1,Kishoreganj,Katiadi,Banagram,11.726777164623785,0.027032531022257233,0.608862144420132
BGD.3.6.7.3_1,Kishoreganj,Katiadi,Chandpur,9.588003731135895,0.020145007729854617,0.44932199494369157
BGD.3.6.7.4_1,Kishoreganj,Katiadi,Jalalpur,14.813192133981923,0.012417623998954618,0.7537993920972651
BGD.3.6.7.5_1,Kishoreganj,Katiadi,Kargaon,9.942852218017126,0.016930726947733406,0.9412567477406443
BGD.3.6.7.6_1,Kishoreganj,Katiadi,Katiadi,14.841930025193147,0.014314409917887619,0.6639344262295084
BGD.3.6.7.7_1,Kishoreganj,Katiadi,Katiadi Paurashava,23.16288270347442,0.04393717811295717,0.5308641975308648
BGD.3.6.7.8_1,Kishoreganj,Katiadi,Lohajuri,10.505729494841267,0.013036414516834271,0.6406533575317609
BGD.3.6.7.9_1,Kishoreganj,Katiadi,Masua,13.278591275554707,0.020597843630963918,0.7642679900744426
BGD.3.6.7.10_1,Kishoreganj,Katiadi,Mumurdia,10.361909109017361,0.017255181242420158,0.4348142753095419
BGD.3.6.7.11_1,Kishoreganj,Katiadi,Shahasram Dhuldia,10.385487073941523,0.021251885726393104,0.8506493506493504
BGD.3.6.8.1_1,Kishoreganj,Kishoreganj Sadar,Baulai,14.752138427232254,0.021489218493095555,0.6605504587155969
BGD.3.6.8.2_1,Kishoreganj,Kishoreganj Sadar,Binnati,13.534697662711075,0.025822454786776916,0.06521739130434787
BGD.3.6.8.3_1,Kishoreganj,Kishoreganj Sadar,Chauddasata,18.466760599580468,0.03946010724086975,0.83987915407855
BGD.3.6.8.4_1,Kishoreganj,Kishoreganj Sadar,Dana Patali,10.603135848433928,0.02151471811506239,0.9349904397705548
BGD.3.6.8.5_1,Kishoreganj,Kishoreganj Sadar,Jasodal,23.78246156296176,0.04426806853126377,0.6238095238095241
BGD.3.6.8.6_1,Kishoreganj,Kishoreganj Sadar,Kishoreganj Paurashava,57.56605483180825,0.15798755141442125,0.4741784037558691
BGD.3.6.8.7_1,Kishoreganj,Kishoreganj Sadar,Korsha Kariail,10.574839279399676,0.021864556876611017,0.6597671410090565
BGD.3.6.8.8_1,Kishoreganj,Kishoreganj Sadar,Latibabad,21.369121378855112,0.04772425193098105,0.5694915254237289
BGD.3.6.8.9_1,Kishoreganj,Kishoreganj Sadar,Mahinanda,21.596696709981533,0.036470294701852535,0.6550000000000002
BGD.3.6.8.10_1,Kishoreganj,Kishoreganj Sadar,Maij Khapan,12.339064259114217,0.022613188577033698,0.5886200130804453
BGD.3.6.8.11_1,Kishoreganj,Kishoreganj Sadar,Maria,22.152218168588686,0.05250468663783128,0.49174917491749204
BGD.3.6.8.12_1,Kishoreganj,Kishoreganj Sadar,Rashidabad,13.475321577829689,0.02313690006955716,0.8053195419283342
BGD.3.6.9.1_1,Kishoreganj,Kuliar Char,Chhaysuti,14.912842642557072,0.01863361538378623,0.5787615426398703
BGD.3.6.9.2_1,Kishoreganj,Kuliar Char,Faridpur,13.853534659791732,0.01794864101871039,0.6496519721577726
BGD.3.6.9.3_1,Kishoreganj,Kuliar Char,Gobaria Abdullahpur,11.254978196506785,0.01073169601982011,0.16949152542372914
BGD.3.6.9.4_1,Kishoreganj,Kuliar Char,Kuliar Char Paurashava,29.767636034017524,0.040536910233051435,0.6670448099829841
BGD.3.6.9.5_1,Kishoreganj,Kuliar Char,Osmanpur,19.860650693337433,0.025616590081756853,0.8602352139083007
BGD.3.6.9.6_1,Kishoreganj,Kuliar Char,Ramdi,16.376213594396607,0.012705462228414186,0.016073478760045938
BGD.3.6.9.7_1,Kishoreganj,Kuliar Char,Salua,13.849204578156197,0.0128692822952752,0.5259336099585064
BGD.3.6.10.1_1,Kishoreganj,Mithamain,Bairati,4.564676827566089,0.0031219535451958457,0.9992833253702819
BGD.3.6.10.2_1,Kishoreganj,Mithamain,Dhaki,5.398681566724106,0.002699022322987367,1.0
BGD.3.6.10.3_1,Kishoreganj,Mithamain,Ghagra,5.643126924337824,0.008001883856953102,0.9998732552797097
BGD.3.6.10.4_1,Kishoreganj,Mithamain,Gopedighi,5.46885214621046,0.0021593311436249605,1.0
BGD.3.6.10.5_1,Kishoreganj,Mithamain,Keorjori,4.777147650598579,0.0023171965317919057,1.0
BGD.3.6.10.6_1,Kishoreganj,Mithamain,Khatkhal,5.264793798108669,0.0042407427422284025,0.999433677321923
BGD.3.6.10.7_1,Kishoreganj,Mithamain,Mithamain,7.470774095147164,0.004690971075255157,0.9996658755213493
BGD.3.6.11.1_1,Kishoreganj,Nikli,Chhatir Char,9.969667207726701,0.009077229780060375,1.0
BGD.3.6.11.2_1,Kishoreganj,Nikli,Dampara,7.217192229670057,0.011986427537057224,0.9982361411087112
BGD.3.6.11.3_1,Kishoreganj,Nikli,Gurai,5.790198750679649,0.005457926811177113,0.9987462417684076
BGD.3.6.11.4_1,Kishoreganj,Nikli,Jaraitala,8.797213323388167,0.023368006744056233,0.9405270847989613
BGD.3.6.11.5_1,Kishoreganj,Nikli,Karpasha,7.030730448135782,0.011154834187183082,0.9990644587894096
BGD.3.6.11.6_1,Kishoreganj,Nikli,Nikli,10.902997652700444,0.013220921878264619,0.9984956452889947
BGD.3.6.11.7_1,Kishoreganj,Nikli,Singpur,6.005480513908393,0.003913020418218441,0.9997590630996532
