year,district,yield_mton_ha,loess_residual,z_score,deficit,rainfall_mm,rainfall_mm_anomaly,ndvi_mean,ndvi_mean_anomaly
1996,Rajshahi Division,1.541639817332705,-0.2794022727537248,-2.6084441531334406,True,1206.6269565414286,-0.3382378278535567,,
1997,Rajshahi Division,1.705849623270074,-0.1481033397069535,-1.3358839598049357,True,1365.0320565725924,0.3410602206174868,,
1998,Rajshahi Division,1.794486888997075,-0.092055454639147,-0.7926631902032921,False,1515.5221254038352,0.9864157682054401,,
1999,Rajshahi Division,1.977717646411595,0.0540567982684996,0.6234689328321925,False,1638.0391971089866,1.5118130420136882,,
2000,Rajshahi Division,2.03743689810938,0.0686747722162948,0.7651475536816916,False,1240.1247641992281,-0.19458717919688537,0.49430929123708395,-1.6814106604570824
2001,Rajshahi Division,2.169598474378478,0.1482845337328795,1.5367319919976772,False,1226.4755361885245,-0.2531199786394738,0.5201595331225157,-1.0794985137468889
2002,Rajshahi Division,2.073830034094853,-0.0039925710348582,0.0608496113410994,False,1380.5237603349842,0.40749421883606657,0.5314460935240114,-0.8166956421007594
2003,Rajshahi Division,2.152907049312634,0.0187533481115225,0.28130495392977,False,1178.0647511329357,-0.460722838690968,0.5253504572323632,-0.9586300016371889
2004,Rajshahi Division,2.104086165150289,-0.0845953330614746,-0.720359070612654,False,1485.191931550442,0.8563489869572033,0.5062610593066665,-1.4031187045199498
2005,Rajshahi Division,2.16058721077935,-0.078923849758413,-0.6653905821327633,False,1466.4124296462692,0.7758157276602925,0.5191313163561877,-1.1034401141329455
2006,Rajshahi Division,2.298478097337129,0.0115032426067807,0.2110363276075763,False,834.5492979428341,-1.9338406671306725,0.5631588462716768,-0.07827736466118514
2007,Rajshahi Division,2.241319615310383,-0.0928764108620501,-0.8006199662828029,False,1397.7837203164554,0.48151113577747207,0.5176788615202037,-1.1372599217850907
2008,Rajshahi Division,2.50507056764446,0.1227914786228105,1.2896511788744869,False,1282.686726618942,-0.012066174474679711,0.5267852914165491,-0.9252204835443152
2009,Rajshahi Division,2.522295039517361,0.0915682644359603,0.9870331867861456,False,1141.0602924215489,-0.6194112684348781,0.5468155102047529,-0.458825157600491
2010,Rajshahi Division,2.522086909153995,0.0423751510972425,0.5102494356306815,False,1073.1706593899105,-0.910546435299672,0.5782946771280346,0.27415417092638067
2011,Rajshahi Division,2.502847444941965,-0.0258638732870064,-0.1511288714728114,False,1287.4861710704422,0.008515569730575507,0.5519433213798706,-0.339426203965206
2012,Rajshahi Division,2.528363762897755,-0.0490152815540678,-0.375514248387215,False,1182.0324921382266,-0.44370773803320884,0.5869901843089808,0.4766254443950766
2013,Rajshahi Division,2.663847416723655,0.0382769381474332,0.4705292144324414,False,971.1598730201846,-1.348005381320466,0.5865267237068215,0.4658339567487458
2014,Rajshahi Division,2.638946147076141,-0.0343198673792981,-0.2330850704088547,False,1078.6852543498112,-0.8868978684692366,0.5843079127189617,0.4141698643674858
2015,Rajshahi Division,2.70531126022066,-0.015137246386752,-0.0471655102695032,False,1264.7034317283171,-0.08918501169568732,0.5869490649466014,0.4756679971189226
