city_corp,ward_no,hh_total,hh_general,pop_total,hh_size,elec_coverage,NAME_4
DSCC,40,11069.0,9897.0,43684.0,3.94,99.96,Ward No-40
DSCC,41,12093.0,10584.0,44366.0,3.81,99.96,Ward No-41
DSCC,42,7838.0,6362.0,29684.0,3.78,99.98,Ward No-42
DSCC,43,8676.0,7346.0,37548.0,4.22,99.93,Ward No-43
DSCC,44,6877.0,6321.0,26971.0,3.87,99.54,Ward No-44
DSCC,45,13459.0,12047.0,52639.0,3.92,99.91,Ward No-45
DSCC,46,10586.0,10249.0,43510.0,3.82,99.95,Ward No-46
DSCC,47,10920.0,10021.0,44551.0,4.1,99.96,Ward No-47
DSCC,48,16413.0,14425.0,63031.0,3.76,99.92,Ward No-48
DSCC,49,17854.0,17199.0,61292.0,3.38,99.94,Ward No-49
DSCC,50,11614.0,10828.0,52971.0,4.07,99.96,Ward No-50
DSCC,51,20379.0,17058.0,70701.0,3.65,99.94,Ward No-51
DSCC,52,10569.0,10243.0,41955.0,3.95,99.91,Ward No-52
DSCC,53,17925.0,17139.0,65763.0,3.71,99.98,Ward No-53
DSCC,54,15527.0,14199.0,57941.0,3.8,99.91,Ward No-54
DSCC,55,37313.0,35175.0,144013.0,3.85,99.96,Ward No-55
DSCC,56,37237.0,35299.0,138844.0,3.76,99.97,Ward No-56
DSCC,57,23014.0,21838.0,89430.0,3.86,99.88,Ward No-57
DSCC,58,19266.0,17394.0,69593.0,3.67,99.97,Ward No-58
DSCC,59,14098.0,13312.0,57413.0,4.06,99.89,Ward No-59
DSCC,60,27110.0,25721.0,108822.0,4.02,99.97,Ward No-60
DSCC,61,21680.0,20757.0,89085.0,4.06,99.96,Ward No-61
DSCC,62,23988.0,23078.0,96852.0,3.97,99.93,Ward No-62
DSCC,63,21519.0,20330.0,81432.0,3.78,99.94,Ward No-63
DSCC,64,14610.0,14141.0,57231.0,3.92,99.9,Ward No-64
DSCC,65,29687.0,28039.0,119917.0,3.99,99.95,Ward No-65
DSCC,66,18959.0,18591.0,74874.0,3.8,99.96,Ward No-66
DSCC,67,13173.0,12691.0,55331.0,4.04,99.9,Ward No-67
DSCC,68,11974.0,11600.0,48338.0,3.98,99.94,Ward No-68
DSCC,69,5457.0,5138.0,20157.0,3.71,99.9,Ward No-69
DSCC,70,5344.0,5185.0,22417.0,4.0,99.67,Ward No-70
DSCC,71,14977.0,14353.0,52773.0,3.51,99.87,Ward No-71
DSCC,72,7459.0,7098.0,27574.0,3.7,99.94,Ward No-72
DSCC,73,12054.0,11856.0,46137.0,3.79,99.92,Ward No-73
DSCC,74,16876.0,15788.0,64090.0,3.82,99.93,Ward No-74
DSCC,75,8147.0,7788.0,34200.0,4.13,99.9,Ward No-75
DNCC,1,33980.0,30059.0,119514.0,3.44,99.87,Ward No-01
DNCC,2,63627.0,60269.0,208062.0,3.24,99.89,Ward No-02
DNCC,3,26576.0,25828.0,104226.0,3.9,99.93,Ward No-03
DNCC,4,22952.0,21138.0,95090.0,3.55,99.95,Ward No-04
DNCC,5,35792.0,34158.0,133703.0,3.73,99.94,Ward No-05
DNCC,6,64524.0,59644.0,228316.0,3.56,99.95,Ward No-06
DNCC,7,33574.0,31306.0,130374.0,3.79,99.93,Ward No-07
DNCC,8,40489.0,38414.0,145193.0,3.52,99.94,Ward No-08
DNCC,9,19498.0,17938.0,76440.0,3.84,99.97,Ward No-09
DNCC,10,27309.0,25030.0,92956.0,3.46,99.94,Ward No-10
DNCC,11,30763.0,28809.0,114884.0,3.7,99.94,Ward No-11
DNCC,12,34790.0,31982.0,135408.0,3.85,99.93,Ward No-12
DNCC,13,45362.0,42995.0,173323.0,3.79,99.98,Ward No-13
DNCC,14,53398.0,49096.0,196759.0,3.68,99.92,Ward No-14
DNCC,15,58526.0,56304.0,222753.0,3.8,99.84,Ward No-15
DNCC,16,36744.0,34917.0,144310.0,3.92,99.96,Ward No-16
DNCC,17,80400.0,67845.0,282695.0,3.59,99.92,Ward No-17
DNCC,18,18050.0,15677.0,63095.0,3.56,99.41,Ward No-18
DNCC,19,37557.0,29569.0,121287.0,3.45,99.96,Ward No-19
DNCC,20,34739.0,27527.0,114736.0,3.42,99.97,Ward No-20
DNCC,21,25251.0,22701.0,89189.0,3.59,99.9,Ward No-21
DNCC,22,45914.0,41708.0,171433.0,3.76,99.95,Ward No-22
DNCC,23,17011.0,15841.0,69353.0,3.89,99.97,Ward No-23
DNCC,24,19489.0,14442.0,70238.0,3.55,99.67,Ward No-24
DNCC,25,24680.0,22063.0,91769.0,3.71,99.88,Ward No-25
DNCC,26,15243.0,12415.0,65348.0,3.99,99.96,Ward No-26
DNCC,27,19207.0,16975.0,77737.0,3.63,99.99,Ward No-27
DNCC,28,16976.0,15091.0,64903.0,3.79,99.97,Ward No-28
DNCC,29,14475.0,13039.0,57416.0,3.89,99.95,Ward No-29
DNCC,30,53717.0,49034.0,197267.0,3.69,99.91,Ward No-30
DNCC,31,13719.0,12445.0,49049.0,3.52,99.96,Ward No-31
DNCC,32,20110.0,18400.0,73265.0,3.58,99.97,Ward No-32
DNCC,33,71144.0,64071.0,266851.0,3.68,99.94,Ward No-33
DNCC,34,35448.0,31240.0,125955.0,3.62,99.95,Ward No-34
DNCC,35,21848.0,19016.0,79707.0,3.67,99.74,Ward No-35
DNCC,36,17414.0,16012.0,63970.0,3.58,99.97,Ward No-36
DNCC,37,31979.0,29967.0,118586.0,3.67,99.9,Ward No-37
DNCC,38,31403.0,27557.0,109541.0,3.55,99.97,Ward No-38
DNCC,39,20594.0,17716.0,74319.0,3.7,99.94,Ward No-39
DNCC,40,31175.0,27856.0,110045.0,3.51,99.94,Ward No-40
DNCC,41,9770.0,8961.0,38608.0,3.77,99.85,Ward No-41
DNCC,42,5024.0,4859.0,19674.0,3.94,99.94,Ward No-42
DNCC,43,4738.0,4621.0,19337.0,4.05,99.89,Ward No-43
DNCC,44,8230.0,7967.0,31861.0,3.81,99.91,Ward No-44
DNCC,45,13612.0,13230.0,50260.0,3.62,99.87,Ward No-45
DNCC,46,12043.0,11799.0,44028.0,3.62,99.83,Ward No-46
DNCC,47,26803.0,25321.0,94607.0,3.55,99.94,Ward No-47
DNCC,48,24746.0,23972.0,90209.0,3.6,99.82,Ward No-48
DNCC,49,28052.0,26228.0,107370.0,3.81,99.95,Ward No-49
DNCC,50,34004.0,31761.0,124415.0,3.64,99.9,Ward No-50
DNCC,51,25874.0,24075.0,98482.0,3.67,99.75,Ward No-51
DNCC,52,25538.0,24146.0,92325.0,3.61,99.9,Ward No-52
DNCC,53,30214.0,28025.0,103609.0,3.38,99.66,Ward No-53
DNCC,54,21450.0,18405.0,70120.0,3.36,99.88,Ward No-54
